Node;Degree;Degree_Centrality;Betweenness_Centrality;Closeness_Centrality;X_Coord;Y_Coord
159;2;0.011235955056179775;0.020059671173744683;0.0006010184226783714;706.17;1557.05
151;3;0.016853932584269662;0.011870754776867899;0.000573446925115169;608.52;1549.87
43;1;0.0056179775280898875;0.0;0.0005700486255320604;605.65;1559.92
147;3;0.016853932584269662;0.09356947882942931;0.0005663502977586532;551.08;1525.46
160;3;0.016853932584269662;0.2098013076874246;0.0006124097273140823;713.87;1524.06
131;4;0.02247191011235955;0.06595569097949597;0.0005179412594274562;354.24;1522.67
38;1;0.0056179775280898875;0.0;0.0005081832960289347;352.91;1559.92
141;3;0.016853932584269662;0.08499968260013965;0.0005437674207177164;462.33;1522.59
40;1;0.0056179775280898875;0.0;0.00053312349496729;458.89;1559.35
120;3;0.016853932584269662;0.04303942106265474;0.0004951733258252446;257.84;1521.44
36;1;0.0056179775280898875;0.0;0.00048799084869993807;256.69;1551.31
111;4;0.02247191011235955;0.023170189805116485;0.00044730250732490405;18.31;1521.15
154;3;0.016853932584269662;0.1709515647813115;0.000590379736913436;637.24;1521.15
4;1;0.0056179775280898875;0.0;0.00044355886361268737;-0.65;1520.29
93;3;0.016853932584269662;0.01999619120167587;0.0006687364136312107;1347.16;1516.88
30;1;0.0056179775280898875;0.0;0.0005863138625987692;1558.46;1523.31
9;1;0.0056179775280898875;0.0;0.0004435019008056688;1.08;1512.54
77;4;0.02247191011235955;0.02545546879959373;0.0007009368186758759;1184.38;1473.76
81;3;0.016853932584269662;0.04614993969402654;0.0007175240850453031;1220.28;1476.63
63;4;0.02247191011235955;0.018472671872024376;0.0006720860072662148;1112.57;1468.02
56;3;0.016853932584269662;0.011235955056179775;0.0006537175779241498;1069.49;1468.02
177;3;0.016853932584269662;0.012695994413762459;0.00045140106504165775;98.73;1460.84
1;1;0.0056179775280898875;0.0;0.0004321617799429556;-0.36;1456.53
107;3;0.016853932584269662;0.05484669586745382;0.00046310176629885943;153.3;1434.99
98;3;0.016853932584269662;0.022408430140290737;0.0004574148026512358;140.37;1410.58
133;3;0.016853932584269662;0.06360693201294991;0.0005084367120180713;360.09;1390.47
35;1;0.0056179775280898875;0.0;0.0004339280645341621;222.23;1361.75
21;1;0.0056179775280898875;0.0;0.00043854172797319884;130.32;1324.41
95;4;0.02247191011235955;0.036374023995429446;0.0007533032348966236;1350.24;1303.59
26;1;0.0056179775280898875;0.0;0.0006521908068403977;1557.03;1312.21
92;3;0.016853932584269662;0.04900653843712309;0.0007674905563671759;1314.13;1302.91
174;3;0.016853932584269662;0.21786326414016377;0.0006886730307498567;952.25;1519.75
173;3;0.016853932584269662;0.2375420554814956;0.0008091087572945416;947.94;1278.49
94;3;0.016853932584269662;0.005586237542055481;0.0007372231096648946;1347.37;1256.2
155;3;0.016853932584269662;0.14257601726655242;0.0008258567822886019;645.14;1250.46
134;3;0.016853932584269662;0.002983558687234178;0.0007527976920562573;364.39;1324.41
148;3;0.016853932584269662;0.15965212975306292;0.0008560399315850387;554.67;1240.4
144;3;0.016853932584269662;0.14841617469688315;0.0008523548468247351;523.8;1239.4
89;3;0.016853932584269662;0.0008252396368945598;0.0006816561276476556;128.6;1238.25
79;2;0.011235955056179775;0.0;0.0006733252404935242;12.56;1217.57
82;3;0.016853932584269662;0.2154510252015489;0.0008344608395523352;1233.2;1215.27
78;3;0.016853932584269662;0.04043674220783343;0.0008094314726000013;1192.99;1210.97
67;3;0.016853932584269662;0.02970862692820415;0.0007752001264485541;1135.55;1209.53
157;3;0.016853932584269662;0.033009585475782394;0.0008364438581476327;673.86;1204.5
65;3;0.016853932584269662;0.06398781184536279;0.00072282068521814;112.51;1201.49
121;3;0.016853932584269662;0.06735225036500984;0.0007719977974989579;259.56;1215.27
162;4;0.02247191011235955;0.0309782263695804;0.0007032874544631646;72.3;1196.89
0;1;0.0056179775280898875;0.0;0.0006692067136844687;-0.07;1188.85
169;3;0.016853932584269662;0.03707230368818638;0.0008164838092462416;870.6;1167.17
84;3;0.016853932584269662;0.2138640258998286;0.0008593097343620984;1233.92;1126.96
70;3;0.016853932584269662;0.1234050657017711;0.0008634845214267824;1159.24;1121.21
145;3;0.016853932584269662;0.08620580206944709;0.0008587712734295183;531.26;1100.96
123;3;0.016853932584269662;0.02494762902304323;0.0007917895431365617;268.18;1083.73
71;3;0.016853932584269662;0.049768298101948834;0.0007457314065115755;116.53;1069.95
96;3;0.016853932584269662;0.011235955056179775;0.0007616045438319738;1371.57;1055.91
27;1;0.0056179775280898875;0.0;0.000666828645588394;1557.17;1083.73
138;3;0.016853932584269662;0.02190059036374024;0.0007191555479364032;38.41;1013.65
7;1;0.0056179775280898875;0.0;0.0006998701968832374;0.5;1020.55
75;3;0.016853932584269662;0.06932012949914303;0.0007619430363133095;118.83;996.42
102;3;0.016853932584269662;0.05713197486193106;0.0007678292585152222;146.4;989.53
117;3;0.016853932584269662;0.06640005078397766;0.0008122148709713881;242.91;966.55
125;3;0.016853932584269662;0.04170634164920967;0.0008238158326013078;275.07;961.96
163;3;0.016853932584269662;0.08601536215324065;0.000913550200971062;733.6;976.92
146;3;0.016853932584269662;0.1580651304513426;0.0009097198656176124;542.26;953.23
142;3;0.016853932584269662;0.14733701517171333;0.0009150225643613365;503.65;949.79
139;4;0.02247191011235955;0.13514886053450137;0.0008793256974079566;388.81;939.55
51;3;0.016853932584269662;0.036374023995429446;0.0008800599860356926;1027.13;946.02
57;3;0.016853932584269662;0.06703485050466577;0.0009037887708754007;1084.57;924.48
58;3;0.016853932584269662;0.06786009014156034;0.0009169885559230632;1085.29;811.75
69;4;0.02247191011235955;0.02247191011235955;0.0009092701755604347;1155.65;807.44
85;3;0.016853932584269662;0.09280771916460356;0.00089614285359662;1234.64;803.13
126;4;0.02247191011235955;0.022408430140290737;0.0007307257919313843;29.22;767.8
