Node1;Node2;Length_of_Edge;Edge_Betweenness_Centrality_Weighted
65;162;40.471;0.0105216896687097
65;71;131.6031;0.015063405429393278
121;123;131.8235;0.015895385959760616
162;0;72.822;0.011173184357541898
169;45;405.9495;0.011173184357541898
169;51;276.062;0.04390600386051064
84;70;74.8948;0.03548607408245526
84;85;324.2744;0.12620249544204495
70;59;157.3128;0.042320845464583735
70;69;313.8071;0.02593245753461353
145;146;148.1433;0.02799272284866267
123;71;152.2716;0.01648022305663073
123;125;122.4276;0.018295966416332396
71;75;73.5613;0.02084119639558406
96;27;187.6726;0.011173184357541898
96;59;284.8806;0.0486661951165121
138;7;38.5331;0.011173184357541898
138;75;82.2441;0.012821525050330865
138;126;246.0224;0.01440003459229462
75;102;28.4206;0.01056882487804302
102;117;99.1998;0.013422620319028357
102;105;238.4394;0.00909565322304499
117;125;32.494;0.0184064348004589
117;119;227.0584;0.006848462211809031
125;139;115.9199;0.04099800936024324
163;146;192.7985;0.06068123456783144
163;165;350.5589;0.07521686178652612
163;59;357.9681;0.06248506618828964
146;142;38.763;0.056052291905016205
142;139;115.2968;0.08034513701077749
142;143;286.8107;0.06841587715126396
139;137;219.0984;0.12821915889342356
51;57;61.3478;0.007428838767770814
51;54;360.052;0.04665269388605783
57;58;112.7317;0.00603279640525791
57;59;96.5235;0.012522114610066266
58;69;70.4978;0.00754359051266108
58;54;226.7944;0.011577121812297189
69;85;79.0998;0.01634554801270474
69;66;238.353;0.030736342390052972
85;80;255.2667;0.11991071393527386
126;6;29.958;0.011173184357541898
126;105;123.4797;0.041788982764621105
126;5;201.0602;0.011173184357541898
105;119;100.6067;0.07162733754004373
105;97;103.8576;0.035274118287045825
119;137;128.3537;0.08413562441236784
137;136;40.2748;0.1272093326752223
136;143;141.2133;0.04903186933563356
136;129;238.8701;0.12787276944857362
143;153;115.6661;0.0808805908995595
97;91;75.3867;0.01527935914220186
97;115;364.9171;0.014179402642148217
153;164;118.8104;0.05425737454523602
153;150;269.0906;0.08925368490819857
164;165;13.8005;0.08683279058786554
164;161;220.352;0.042597804258476986
165;54;295.7077;0.08323438646588908
100;25;402.936;0.011173184357541898
100;23;144.8672;0.011173184357541898
100;90;153.5514;0.04393948904651308
100;29;142.6452;0.011173184357541898
90;19;131.9764;0.011173184357541898
90;87;40.3539;0.06515598518611511
54;66;76.6863;0.08262545038207542
54;53;163.7122;0.03841045029096089
91;115;79.5356;0.0015734521791894245
91;74;60.7706;0.011826970717118726
66;80;84.6413;0.07738088209993146
66;61;157.492;0.05257474888360307
115;114;58.8974;0.014859717452147318
80;87;66.5857;0.11097231812190074
80;76;148.2945;0.08309836758295189
87;108;257.7788;0.05209340279957317
108;33;22.9844;0.011173184357541898
108;106;146.8491;0.03527085556462242
74;114;78.616;0.004782641689334701
74;60;46.7542;0.009314686130989304
114;113;49.9632;0.024588690194146615
132;3;38.0213;0.011173184357541898
132;60;74.6328;0.03314292888079844
132;2;134.529;0.011173184357541898
