Node;Grau;Betweenness_Centrality_Weighted;Closeness_Centrality_Weighted;X_Coord;Y_Coord
159;2;0.020059671173744683;0.10532544378698225;706.17;1557.05
151;3;0.01161683488859265;0.09689711486118671;608.52;1549.87
43;1;0.0;0.08838133068520357;605.65;1559.92
147;3;0.022662350028565988;0.09769484083424808;551.08;1525.46
160;3;0.21005522757569986;0.11710526315789474;713.87;1524.06
131;4;0.049768298101948834;0.09044715447154472;354.24;1522.67
38;1;0.0;0.08298368298368299;352.91;1559.92
141;3;0.012759474385831273;0.09008097165991903;462.33;1522.59
40;1;0.0;0.08267533673943335;458.89;1559.35
120;3;0.028185107598552656;0.08345053914674168;257.84;1521.44
36;1;0.0;0.07705627705627706;256.69;1551.31
111;4;0.023170189805116485;0.07759372275501308;18.31;1521.15
154;3;0.1725385640830318;0.10716435881998795;637.24;1521.15
4;1;0.0;0.07203561311210037;-0.65;1520.29
93;3;0.030468270593960924;0.11858760826115923;1347.16;1516.88
30;1;0.0;0.10607866507747318;1558.46;1523.31
9;1;0.0;0.07203561311210037;1.08;1512.54
77;4;0.0343617088808481;0.11491284699806327;1184.38;1473.76
81;3;0.040688546097039716;0.12191780821917808;1220.28;1476.63
63;4;0.017497196301233624;0.10360884749708964;1112.57;1468.02
56;3;0.011235955056179775;0.09807162534435261;1069.49;1468.02
177;3;0.027550307877864534;0.08333333333333333;98.73;1460.84
1;1;0.0;0.07695633376567229;-0.36;1456.53
107;3;0.0697010093315559;0.09030948756976154;153.3;1434.99
98;3;0.022408430140290737;0.0830223880597015;140.37;1410.58
133;3;0.13451406081381326;0.09834254143646409;360.09;1390.47
35;1;0.0;0.07669108143041792;222.23;1361.75
21;1;0.0;0.07669108143041792;130.32;1324.41
95;4;0.03340316130260902;0.11994609164420485;1350.24;1303.59
26;1;0.0;0.10716435881998795;1557.03;1312.21
92;3;0.017146018317223816;0.1259731068648266;1314.13;1302.91
174;3;0.23130620622526935;0.12851985559566786;952.25;1519.75
173;3;0.2877803932730812;0.1404893449092344;947.94;1278.49
94;3;0.03065039765668217;0.1240418118466899;1347.37;1256.2
155;3;0.2046836676368392;0.14126984126984127;645.14;1250.46
134;3;0.1867858362410187;0.13862928348909656;364.39;1324.41
148;3;0.0438309846640084;0.13373403456048083;554.67;1240.4
144;3;0.03631660438682744;0.12796549245147376;523.8;1239.4
89;3;0.032106671708092185;0.12335412335412335;128.6;1238.25
79;2;0.0;0.11090342679127727;12.56;1217.57
82;3;0.16484575721713532;0.135258358662614;1233.2;1215.27
78;3;0.045771175860682634;0.12051455653351388;1192.99;1210.97
67;3;0.02080238684694979;0.10814094775212636;1135.55;1209.53
157;3;0.0417342955008954;0.1346444780635401;673.86;1204.5
65;3;0.015860822812157564;0.10960591133004927;112.51;1201.49
121;3;0.028662243803893043;0.11914323962516733;259.56;1215.27
